Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Sale_Year,Sale_Month,Sale_MonthName,Sale_YearMonth,price_per_room,price_per_landsize,property_age,age_bracket,price_to_area_ratio,cumulative_revenue_pct,pareto_80
Airport West,1/43 Cameron St,3,u,752000,S,Nelson,11-02-2017,13.5,3042,3,1,1,265,130,1993,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464,2017,2,Feb,2017-02,250666.67,2837.74,24,1977–1997,5589.19,80.195,FALSE
Airport West,145a Victory Rd,2,u,440000,S,Barry,13-08-2016,13.5,3042,2,1,1,192,76,2009,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464,2016,8,Aug,2016-08,220000,2291.67,8,Post-1997,5589.19,80.195,FALSE
Airport West,241 Parer Rd,5,h,755000,PI,Propertyau,14-05-2016,13.5,3042,3,2,2,596,260,1965,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464,2016,5,May,2016-05,151000,1266.78,52,1947–1977,5589.19,80.195,FALSE
Airport West,2/40 Earl St,3,t,700000,PI,Brad,15-10-2016,13.5,3042,3,2,2,165,133,2009,Moonee Valley,-37.727,144.887,Western Metropolitan,3464,2016,10,Oct,2016-10,233333.33,4242.42,8,Post-1997,5589.19,80.195,FALSE
Airport West,180 Parer Rd,3,h,830000,S,Barry,16-04-2016,13.5,3042,3,1,2,971,113,1960,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464,2016,4,Apr,2016-04,276666.67,854.79,57,1947–1977,5589.19,80.195,FALSE
Airport West,4/54 Hawker St,2,u,462500,S,Barry,16-07-2016,13.5,3042,2,1,1,164,76,2003,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464,2016,7,Jul,2016-07,231250,2820.12,14,Post-1997,5589.19,80.195,FALSE
Airport West,43 Hillside Gr,3,h,670000,SP,Barry,16-07-2016,13.5,3042,3,2,2,657,130,1965,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464,2016,7,Jul,2016-07,223333.33,1019.79,52,1947–1977,5589.19,80.195,FALSE
Airport West,174 Parer Rd,2,h,675000,S,Barry,16-07-2016,13.5,3042,2,1,1,612,100,1975,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464,2016,7,Jul,2016-07,337500,1102.94,42,1947–1977,5589.19,80.195,FALSE
Airport West,138 Victory Rd,3,h,1042000,S,Nelson,16-07-2016,13.5,3042,3,2,5,612,174,1950,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464,2016,7,Jul,2016-07,347333.33,1702.61,67,1947–1977,5589.19,80.195,FALSE
Airport West,75 King St,3,h,910000,S,McDonald,17-09-2016,13.5,3042,3,1,1,775,130,1965,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464,2016,9,Sep,2016-09,303333.33,1174.19,52,1947–1977,5589.19,80.195,FALSE
Airport West,6 Kittyhawk St,4,h,773000,S,Brad,17-09-2016,13.5,3042,5,3,4,531,309,1980,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464,2016,9,Sep,2016-09,193250,1455.74,37,1977–1997,5589.19,80.195,FALSE
Airport West,478 Fullarton Rd,3,h,810000,PI,Barry,18-03-2017,13.5,3042,3,3,2,555,192,1980,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464,2017,3,Mar,2017-03,270000,1459.46,37,1977–1997,5589.19,80.195,FALSE
Airport West,144 Marshall Rd,3,h,715000,S,Rendina,18-03-2017,13.5,3042,3,2,2,422,126,1995,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464,2017,3,Mar,2017-03,238333.33,1694.31,22,1977–1997,5589.19,80.195,FALSE
Airport West,106 Parer Rd,3,h,790000,S,Nelson,18-03-2017,13.5,3042,3,1,3,614,130,1965,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464,2017,3,Mar,2017-03,263333.33,1286.64,52,1947–1977,5589.19,80.195,FALSE
Airport West,3/7 South Rd,3,t,540000,SP,Nelson,18-06-2016,13.5,3042,2,2,1,161,101,2010,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464,2016,6,Jun,2016-06,180000,3354.04,7,Post-1997,5589.19,80.195,FALSE
Airport West,37 North St,3,t,825000,SP,Barry,19-11-2016,13.5,3042,3,2,1,293,102,1960,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464,2016,11,Nov,2016-11,275000,2815.7,57,1947–1977,5589.19,80.195,FALSE
Airport West,10 Hilbert Rd,3,h,685000,S,Barry,22-05-2016,13.5,3042,3,1,1,579,113,1975,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464,2016,5,May,2016-05,228333.33,1183.07,42,1947–1977,5589.19,80.195,FALSE
Airport West,110 Halsey Rd,3,h,805000,S,Barry,22-08-2016,13.5,3042,3,1,1,623,130,1965,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464,2016,8,Aug,2016-08,268333.33,1292.13,52,1947–1977,5589.19,80.195,FALSE
Airport West,2/13 North St,2,u,510000,S,Nelson,22-08-2016,13.5,3042,2,1,1,141,76,2009,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464,2016,8,Aug,2016-08,255000,3617.02,8,Post-1997,5589.19,80.195,FALSE
Airport West,105a Victory Rd,3,h,612000,S,Nelson,22-08-2016,13.5,3042,3,2,1,212,130,1965,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464,2016,8,Aug,2016-08,204000,2886.79,52,1947–1977,5589.19,80.195,FALSE
Airport West,117 Marshall Rd,3,h,662000,S,Brad,23-04-2016,13.5,3042,3,1,2,612,130,1965,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464,2016,4,Apr,2016-04,220666.67,1081.7,52,1947–1977,5589.19,80.195,FALSE
Airport West,34 Moorna Dr,4,h,978000,S,Nelson,24-09-2016,13.5,3042,4,3,2,532,190,1965,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464,2016,9,Sep,2016-09,244500,1838.35,52,1947–1977,5589.19,80.195,FALSE
Airport West,33 North St,3,h,720000,PI,Nelson,25-02-2017,13.5,3042,3,1,1,585,130,1965,Moonee Valley,-37.72,144.878,Western Metropolitan,3464,2017,2,Feb,2017-02,240000,1230.77,52,1947–1977,5589.19,80.195,FALSE
Airport West,49 Roberts Rd,4,h,765000,S,Prof.,27-11-2016,13.5,3042,4,1,2,509,190,1965,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464,2016,11,Nov,2016-11,191250,1502.95,52,1947–1977,5589.19,80.195,FALSE
Airport West,85 Roberts Rd,4,h,900000,S,Harcourts,27-11-2016,13.5,3042,4,2,3,628,146,1975,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464,2016,11,Nov,2016-11,225000,1433.12,42,1947–1977,5589.19,80.195,FALSE
Albert Park,105 Kerferd Rd,2,h,1275000,S,hockingstuart,03-09-2016,3.3,3206,2,1,0,120,82,1900,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280,2016,9,Sep,2016-09,637500,10625,117,Pre-1917,15563.31,50.685,TRUE
Albert Park,85 Richardson St,2,h,1455000,S,Thomson,03-09-2016,3.3,3206,2,1,0,159,96,1900,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280,2016,9,Sep,2016-09,727500,9150.94,117,Pre-1917,15563.31,50.685,TRUE
Albert Park,112 Beaconsfield Pde,3,h,2850000,PI,Buxton,04-03-2017,3.3,3206,3,2,0,211,198,1890,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280,2017,3,Mar,2017-03,950000,13507.11,127,Pre-1917,15563.31,50.685,TRUE
Albert Park,94 Graham St,3,h,1850000,S,Greg,04-03-2017,3.3,3206,3,2,0,128,133,1890,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280,2017,3,Mar,2017-03,616666.67,14453.12,127,Pre-1917,15563.31,50.685,TRUE
Albert Park,396 Montague St,2,h,1436000,S,RT,04-03-2017,3.3,3206,2,1,0,130,81,1900,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280,2017,3,Mar,2017-03,718000,11046.15,117,Pre-1917,15563.31,50.685,TRUE
Albert Park,75 Graham St,2,h,1110000,S,Marshall,06-08-2016,3.3,3206,1,1,0,147,96,1900,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280,2016,8,Aug,2016-08,555000,7551.02,117,Pre-1917,15563.31,50.685,TRUE
Albert Park,54 Brooke St,2,h,1550000,S,Sotheby's,07-05-2016,3.3,3206,2,1,1,167,96,1900,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280,2016,5,May,2016-05,775000,9281.44,117,Pre-1917,15563.31,50.685,TRUE
Albert Park,104 Richardson St,4,h,2300000,S,Marshall,07-05-2016,3.3,3206,4,2,1,153,180,1880,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280,2016,5,May,2016-05,575000,15032.68,137,Pre-1917,15563.31,50.685,TRUE
Albert Park,4a Mills St,3,t,1550000,VB,Marshall,07-11-2016,3.3,3206,3,2,2,718,135,1965,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280,2016,11,Nov,2016-11,516666.67,2158.77,52,1947–1977,15563.31,50.685,TRUE
Albert Park,1 Moubray St,3,h,1800000,VB,Greg,07-11-2016,3.3,3206,3,2,1,132,159,1996,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280,2016,11,Nov,2016-11,600000,13636.36,21,1977–1997,15563.31,50.685,TRUE
Albert Park,29 Faussett St,2,h,2120000,S,Greg,10-09-2016,3.3,3206,2,1,1,199,107,1900,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280,2016,9,Sep,2016-09,1060000,10653.27,117,Pre-1917,15563.31,50.685,TRUE
Albert Park,3 Herbert St,3,h,1800000,VB,Cayzer,10-09-2016,3.3,3206,3,1,1,253,130,1900,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280,2016,9,Sep,2016-09,600000,7114.62,117,Pre-1917,15563.31,50.685,TRUE
Albert Park,24 Kerferd Pl,3,h,1800000,S,Marshall,10-09-2016,3.3,3206,3,2,1,90,122,1900,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280,2016,9,Sep,2016-09,600000,20000,117,Pre-1917,15563.31,50.685,TRUE
Albert Park,44 Draper St,2,h,1810000,PI,Greg,10-12-2016,3.3,3206,2,1,0,240,96,1900,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280,2016,12,Dec,2016-12,905000,7541.67,117,Pre-1917,15563.31,50.685,TRUE
Albert Park,2 Dundas Pl,3,h,2615000,S,Cayzer,10-12-2016,3.3,3206,3,2,1,177,181,1880,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280,2016,12,Dec,2016-12,871666.67,14774.01,137,Pre-1917,15563.31,50.685,TRUE
Albert Park,23 Finlay St,5,h,2100000,S,Greg,10-12-2016,3.3,3206,5,2,1,237,260,1900,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280,2016,12,Dec,2016-12,420000,8860.76,117,Pre-1917,15563.31,50.685,TRUE
Albert Park,31 Richardson St,3,h,1300000,S,hockingstuart,10-12-2016,3.3,3206,3,1,0,129,130,1900,Port Phillip,-37.8422,144.949,Southern Metropolitan,3280,2016,12,Dec,2016-12,433333.33,10077.52,117,Pre-1917,15563.31,50.685,TRUE
Albert Park,4a Gatehouse La,3,h,1370000,S,Greg,12-06-2016,3.3,3206,3,2,2,0,85,2000,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280,2016,6,Jun,2016-06,456666.67,,17,Post-1997,15563.31,50.685,TRUE
Albert Park,60 Brooke St,2,h,1000000,S,Cayzer,12-11-2016,3.3,3206,2,1,0,288,96,1900,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280,2016,11,Nov,2016-11,500000,3472.22,117,Pre-1917,15563.31,50.685,TRUE
Albert Park,70 Barrett St,3,h,2575000,S,Greg,15-10-2016,3.3,3206,3,2,1,228,130,1900,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280,2016,10,Oct,2016-10,858333.33,11293.86,117,Pre-1917,15563.31,50.685,TRUE
Albert Park,65 Graham St,2,h,1322500,S,Greg,15-10-2016,3.3,3206,2,1,0,149,98,1890,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280,2016,10,Oct,2016-10,661250,8875.84,127,Pre-1917,15563.31,50.685,TRUE
Albert Park,364 Montague St,2,h,1562500,S,Greg,15-10-2016,3.3,3206,2,1,0,141,83,1890,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280,2016,10,Oct,2016-10,781250,11081.56,127,Pre-1917,15563.31,50.685,TRUE
Albert Park,86 Mills St,3,h,2000000,VB,RT,16-04-2016,3.3,3206,3,2,1,211,147,1900,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280,2016,4,Apr,2016-04,666666.67,9478.67,117,Pre-1917,15563.31,50.685,TRUE
Albert Park,129 Kerferd Rd,3,h,1900000,S,Greg,18-03-2017,3.3,3206,3,1,0,209,130,1900,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280,2017,3,Mar,2017-03,633333.33,9090.91,117,Pre-1917,15563.31,50.685,TRUE
Albert Park,97 Page St,3,h,3010000,S,Greg,18-03-2017,3.3,3206,3,2,0,147,146,1890,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280,2017,3,Mar,2017-03,1003333.33,20476.19,127,Pre-1917,15563.31,50.685,TRUE
Albert Park,55 Withers St,4,h,2800000,VB,Cayzer,18-06-2016,3.3,3206,4,3,1,327,254,1910,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280,2016,6,Jun,2016-06,700000,8562.69,107,Pre-1917,15563.31,50.685,TRUE
